epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3398.87,1.12923,0.65141,0.9442,0.83453,0.80511,0.82857,0.60738,0.83313,4.13505,0.66741,0.000145775,0.000145775,0.000145775
102,3432.35,1.14582,0.63764,0.95033,0.81993,0.81384,0.83016,0.60583,0.82288,3.3129,0.6651,0.000138903,0.000138903,0.000138903
103,3465.58,1.14946,0.658,0.94796,0.82403,0.80559,0.82764,0.61203,0.81919,3.94207,0.66458,0.000132031,0.000132031,0.000132031
104,3499.3,1.11984,0.63624,0.9391,0.83774,0.80272,0.83063,0.61426,0.80431,3.41204,0.66166,0.000125158,0.000125158,0.000125158
105,3532.55,1.13386,0.64587,0.93965,0.84411,0.79695,0.83083,0.61821,0.80798,4.1033,0.66204,0.000118286,0.000118286,0.000118286
106,3585.81,1.00416,0.59303,0.91747,0.81459,0.79874,0.823,0.6,0.8358,3.55321,0.66688,0.000111414,0.000111414,0.000111414
107,3618.86,0.97268,0.57172,0.90534,0.81535,0.81396,0.82018,0.59482,0.85726,3.04664,0.67111,0.000104542,0.000104542,0.000104542
108,3651.51,0.97834,0.57563,0.90809,0.8206,0.80938,0.82417,0.59697,0.84671,3.33166,0.66815,9.76692e-05,9.76692e-05,9.76692e-05
109,3684.17,0.94324,0.61979,0.89044,0.82426,0.80855,0.822,0.60244,0.8239,2.31559,0.6648,9.0797e-05,9.0797e-05,9.0797e-05
110,3716.75,0.90995,0.60817,0.88188,0.83156,0.8115,0.82292,0.60662,0.80614,2.61843,0.66194,8.39248e-05,8.39248e-05,8.39248e-05
111,3749.41,0.93721,0.55721,0.89924,0.83378,0.81282,0.8242,0.60944,0.80812,2.74614,0.66105,7.70525e-05,7.70525e-05,7.70525e-05
112,3782.08,0.91683,0.54272,0.89065,0.82496,0.81086,0.82413,0.61172,0.8013,2.75232,0.65935,7.01802e-05,7.01802e-05,7.01802e-05
113,3814.66,0.90289,0.62273,0.88226,0.82853,0.80718,0.82554,0.60762,0.80515,2.43724,0.66041,6.3308e-05,6.3308e-05,6.3308e-05
114,3847.29,0.91117,0.54667,0.8923,0.82803,0.80823,0.82837,0.61287,0.80484,2.39138,0.66069,5.64358e-05,5.64358e-05,5.64358e-05
115,3879.86,0.90898,0.53946,0.88958,0.82784,0.80918,0.83176,0.61256,0.808,2.63823,0.66028,4.95635e-05,4.95635e-05,4.95635e-05
116,3912.76,0.9032,0.53938,0.89389,0.82282,0.81659,0.8299,0.61649,0.79407,2.88157,0.65771,4.26912e-05,4.26912e-05,4.26912e-05
117,3945.25,0.89032,1.061,0.85405,0.83166,0.81949,0.82713,0.6128,0.79152,2.50749,0.65744,3.5819e-05,3.5819e-05,3.5819e-05
118,3977.71,0.91814,0.59468,0.88815,0.8432,0.81878,0.82687,0.61652,0.80673,2.06416,0.66015,2.89468e-05,2.89468e-05,2.89468e-05
119,4010.49,0.89279,0.58179,0.87982,0.82977,0.81098,0.82622,0.62007,0.7797,2.18269,0.65594,2.20745e-05,2.20745e-05,2.20745e-05
120,4042.96,0.86829,0.61089,0.86202,0.83527,0.81114,0.82496,0.61927,0.78483,2.11778,0.6572,1.52022e-05,1.52022e-05,1.52022e-05
